WeekOf,Malware sites detected,Phishing sites detected,Malware sites number,Phishing sites number,Attack sites,Compromised sites,Browser warnings,Search warnings,Webmaster response time,Reinfection rate
2006-05-21,1,,,,,1,,,0,0
2006-05-28,,,,,,,,,,
2006-06-04,,,,,,,,,,
2006-06-11,,,,,,,,,,
2006-06-18,,,,,,,,,,
2006-06-25,,,,,,,,,,
2006-07-02,,,,,,,,,,
2006-07-09,,,,,,,,,,
2006-07-16,,,,,,,,,,
2006-07-23,,,,,,,,,,
2006-07-30,32,,63,,,32,,,45,
2006-08-06,27,,70,,,27,,,60,
2006-08-13,,,73,,,,,,,
2006-08-20,31,,79,,,31,,,68,0
2006-08-27,25,,88,,,25,,,72,
2006-09-03,49,,110,,,49,,,90,
2006-09-10,,,143,,,,,,,
2006-09-17,,,176,,,,,,,
2006-09-24,37,,204,,,37,,,90,0
2006-10-01,34,,228,,,34,,,90,0
2006-10-08,41,,250,,,41,,,90,0
2006-10-15,46,,266,,,46,,,90,0
2006-10-22,31,,289,,,31,,,90,0
2006-10-29,37,,322,,,37,,,90,0
2006-11-05,50,,365,,,50,,,90,0
2006-11-12,62,,415,,,62,,,90,0
2006-11-19,87,,491,,16,84,,,90,0
2006-11-26,106,,587,,39,90,,,90,2
2006-12-03,100,,681,,,84,,,90,2
2006-12-10,433,,1004,,,418,,,90,7
2006-12-17,405,,1406,,,390,,,90,8
2006-12-24,492,,1849,,,480,,,90,10
2006-12-31,644,,2415,,,644,,,90,10
2007-01-07,831,,3123,,42,822,,,90,10
2007-01-14,573,,3702,,,564,,,90,7
2007-01-21,631,,4258,,,622,,,90,7
2007-01-28,573,,4780,,33,563,,,90,5
2007-02-04,625,,5287,,,615,,,90,4
2007-02-11,919,,6085,,28,916,,,90,5
2007-02-18,2133,,7434,,31,2125,,,90,4
2007-02-25,2585,,9774,,,2577,,,90,3
2007-03-04,4613,,13192,,,4605,,,87,4
2007-03-11,5739,,18166,,26,5724,,,86,5
2007-03-18,5875,,23576,,19,5860,,,86,4
2007-03-25,5297,,28679,,,5287,,,86,6
2007-04-01,6716,,34091,,,6707,,,86,7
2007-04-08,6002,,39596,,,5992,,,89,9
2007-04-15,7253,,45919,,,7251,,,89,9
2007-04-22,8427,,52842,,134,8313,,,89,9
2007-04-29,10068,,61520,,180,9907,,,90,9
2007-05-06,10520,,69447,,241,10293,,,90,8
2007-05-13,10867,,75447,,265,10611,,,90,6
2007-05-20,10119,,78836,,355,9775,,,90,5
2007-05-27,9556,,80560,,285,9281,,,90,5
2007-06-03,10814,,81321,,292,10538,,,90,5
2007-06-10,12107,,84343,,301,11826,,,90,6
2007-06-17,15037,,90714,,336,14724,,,90,7
2007-06-24,16890,,99134,,287,16623,,,90,9
2007-07-01,17656,,106838,,284,17392,,,90,10
2007-07-08,15912,,114710,,278,15662,,,90,11
2007-07-15,14792,,120621,,260,14562,,,90,11
2007-07-22,12786,,125830,,230,12588,,,90,11
2007-07-29,10631,,130177,,218,10445,,,90,10
2007-08-05,11265,,136357,,226,11071,,,90,10
2007-08-12,10947,,142604,,218,10750,,,90,10
2007-08-19,11181,,149304,,212,10983,,,90,9
2007-08-26,11184,,155409,,237,10959,,,90,9
2007-09-02,13525,,162150,,261,13276,,,90,9
2007-09-09,12546,,168232,,250,12307,,,90,7
2007-09-16,15218,,173194,,228,15001,,,90,6
2007-09-23,15404,,177229,,232,15183,,,90,6
2007-09-30,14364,,180524,,210,14162,,,90,5
2007-10-07,11607,,182643,,177,11436,,,90,5
2007-10-14,11528,,184520,,189,11346,,,90,6
2007-10-21,9560,,186995,,240,9335,,,90,7
2007-10-28,7705,,189350,,230,7497,,,90,7
2007-11-04,7321,,191305,,234,7116,,,90,8
2007-11-11,7137,,192815,,241,6931,,,90,8
2007-11-18,6190,3800,194224,206216,225,5997,,,90,9
2007-11-25,4488,4676,194420,205274,173,4340,,,90,9
2007-12-02,7958,11072,195545,206974,206,7774,,,90,9
2007-12-09,8990,11667,197410,209317,192,8814,,,90,9
2007-12-16,10462,11906,199433,210904,216,10301,,,90,9
2007-12-23,11064,12574,201594,213107,225,10895,,,90,8
2007-12-30,11808,12996,203765,215273,237,11627,,,90,7
2008-01-06,10405,11386,205085,216640,206,10252,,,90,6
2008-01-13,13221,13312,207503,218947,233,13042,,,90,6
2008-01-20,12807,12461,211089,197036,225,12593,,,90,6
2008-01-27,14627,11707,215983,156197,221,14418,,,90,7
2008-02-03,21387,10825,224258,115848,226,21175,,,90,8
2008-02-10,21733,8308,234468,75121,216,21532,,,90,9
2008-02-17,18825,4340,242654,32326,198,18642,,,90,8
2008-02-24,18949,10711,248350,17774,185,18780,,,89,8
2008-03-02,18069,10744,250887,25490,193,17890,,,88,7
2008-03-09,15234,10848,249518,33257,233,15014,,,85,7
2008-03-16,19067,10858,247046,41246,273,18807,,,82,6
2008-03-23,21002,10806,244892,49491,280,20735,,,77,6
2008-03-30,23199,3315,243563,53638,275,22937,,,73,5
2008-04-06,24028,3241,243958,54509,299,23745,,,68,5
2008-04-13,21391,3255,245066,55351,270,21136,,,64,6
2008-04-20,16247,4075,244379,56384,254,16010,,,59,8
2008-04-27,15999,4095,243467,56899,262,15773,,,53,8
2008-05-04,15318,4093,241761,57328,273,15079,,,47,8
2008-05-11,15979,4036,238185,57690,243,15767,,,42,9
2008-05-18,15310,3878,230367,54760,250,15091,,,36,9
2008-05-25,18337,3099,220115,46881,265,18102,,,31,9
2008-06-01,17564,3265,204779,38790,280,17299,,,26,10
2008-06-08,18585,3536,183977,30282,324,18288,,,22,13
2008-06-15,20413,3769,160161,22035,361,20085,,,20,18
2008-06-22,27625,3901,141379,17104,373,27289,,,19,21
2008-06-29,32133,4161,128391,17063,393,31783,,,19,25
2008-07-06,35622,4018,121492,17503,424,35241,,,20,28
2008-07-13,38524,3735,120707,18064,399,38160,,,21,28
2008-07-20,40078,4602,125023,18467,390,39722,,,20,27
2008-07-27,37856,4467,129565,18832,395,37494,,,20,27
2008-08-03,34036,4162,131407,18541,342,33724,,,21,24
2008-08-10,32198,4162,131719,18059,295,31934,,,21,23
2008-08-17,34084,4213,134612,17752,286,33826,,,19,22
2008-08-24,33150,3310,139176,17293,266,32911,,,20,23
2008-08-31,28968,3531,137277,16839,249,28746,,,20,23
2008-09-07,28287,3697,133638,16766,256,28054,,,22,25
2008-09-14,27971,3835,131088,16828,256,27735,,,25,24
2008-09-21,23257,3903,127548,17054,270,23008,,,29,24
2008-09-28,22458,3745,123629,17369,252,22223,,,31,23
2008-10-05,23303,3725,126669,17652,242,23081,,,32,23
2008-10-12,20494,3780,130121,17891,240,20273,,,30,23
2008-10-19,21056,3946,133666,18205,230,20845,,,27,24
2008-10-26,21979,4224,138843,18641,211,21786,,,26,25
2008-11-02,22298,6689,143234,19546,219,22096,,,22,27
2008-11-09,26784,6766,146827,19829,230,26573,,,20,26
2008-11-16,29663,6703,151715,20045,238,29447,,,17,27
2008-11-23,30700,6533,155082,20135,255,30468,,,17,26
2008-11-30,29023,6466,154034,20170,285,28763,,,16,24
2008-12-07,28161,4350,151716,19775,331,27856,,,18,22
2008-12-14,24377,4305,148839,19968,346,24056,,,19,23
2008-12-21,24315,4664,146053,20198,355,23986,,,21,24
2008-12-28,23161,4564,145125,20318,331,22855,,,21,26
2009-01-04,26891,4903,145641,20487,326,26590,,,23,28
2009-01-11,30167,4851,149139,20703,294,29899,,,23,28
2009-01-18,33930,4878,154303,20871,292,33664,,,24,28
2009-01-25,36583,4848,160915,21330,290,36319,,,25,28
2009-02-01,36640,5290,166809,22372,303,36362,,,25,27
2009-02-08,32335,5411,171329,23377,297,32061,,,23,25
2009-02-15,29267,5703,172541,24432,290,28998,,,21,24
2009-02-22,26753,6509,171486,26058,313,26459,,,19,25
2009-03-01,26970,6498,169698,27930,335,26654,,,17,25
2009-03-08,28120,6927,166607,29795,342,27799,,,16,27
2009-03-15,31720,7287,165059,32070,363,31380,,,16,26
2009-03-22,34233,13608,165546,36740,395,33864,,,15,26
2009-03-29,33153,16892,164851,39848,442,32740,,,15,25
2009-04-05,29741,18491,161768,43304,417,29348,,,15,24
2009-04-12,30611,17923,159279,46471,474,30162,,,14,23
2009-04-19,32679,17548,157982,48694,508,32214,,,14,24
2009-04-26,34445,11827,157168,47899,511,33987,,,13,26
2009-05-03,35720,8824,158013,47735,463,35326,,,13,28
2009-05-10,40271,8241,159616,46844,490,39864,,,12,30
2009-05-17,55139,9460,167366,46166,490,54742,,,13,31
2009-05-24,57299,10628,177435,47137,440,56932,,,13,31
2009-05-31,61376,11631,187020,49339,437,61011,,,14,31
2009-06-07,70676,12273,198790,52638,476,70265,,,16,31
2009-06-14,76845,12173,213813,55785,450,76451,,,17,31
2009-06-21,70557,12934,227503,59481,428,70183,,,18,30
2009-06-28,63774,11686,234303,61114,393,63435,,,19,30
2009-07-05,64981,11010,241228,61249,424,64605,,,20,30
2009-07-12,59036,11524,246362,61065,444,58633,,,21,31
2009-07-19,55616,11729,250013,61002,513,55147,,,22,30
2009-07-26,58650,10504,254278,59382,531,58163,,,22,32
2009-08-02,69663,10904,266576,58593,610,69100,,,23,32
2009-08-09,68370,11867,279481,59574,637,67786,,,23,31
2009-08-16,74659,10719,295330,58487,618,74097,,,24,30
2009-08-23,70778,10781,310541,57323,669,70167,,,24,28
2009-08-30,62228,11624,320428,57474,745,61538,,,24,27
2009-09-06,54080,12041,324192,58250,758,53378,,,23,26
2009-09-13,46355,11564,320973,57410,722,45683,,,21,27
2009-09-20,44421,11407,310784,58183,757,43713,,,19,28
2009-09-27,47706,11534,299363,58748,724,47027,,,17,32
2009-10-04,45258,11068,285284,59102,683,44619,,,16,35
2009-10-11,53292,10892,272941,58441,703,52632,,,14,40
2009-10-18,57970,10380,264624,57407,790,57236,,,14,40
2009-10-25,54864,10441,259633,56347,823,54105,,,15,39
2009-11-01,53361,10966,257955,55610,819,52607,,,16,37
2009-11-08,59347,10373,261168,53890,978,58465,,,18,35
2009-11-15,57076,11034,267971,53401,1081,56108,,,20,30
2009-11-22,53084,11356,275342,54427,1173,52035,,,21,28
2009-11-29,48515,11517,281171,55347,1279,47376,,,22,28
2009-12-06,43867,10088,280703,55107,1339,42681,,,21,27
2009-12-13,38306,10671,276558,55245,1306,37145,,,21,25
2009-12-20,29582,10797,267024,54477,1319,28403,,,21,24
2009-12-27,27491,9898,256232,52814,1218,26387,,,23,25
2010-01-03,24961,10949,245448,50179,1111,23935,,,23,26
2010-01-10,22993,11659,237432,47634,1142,21920,,,23,26
2010-01-17,18098,12211,230252,44933,1095,17045,,,22,27
2010-01-24,17205,10688,223956,41316,1059,16179,,,22,27
2010-01-31,23772,10939,222067,37530,1166,22649,,,19,28
2010-02-07,29323,9518,226279,34794,1247,28140,,,18,27
2010-02-14,31272,9060,231479,32766,1272,30089,,,17,26
2010-02-21,35012,8470,234664,31976,1412,33722,,,17,26
2010-02-28,38565,8771,238892,31821,1537,37163,,,17,26
2010-03-07,33949,8316,239233,32040,1699,32395,,,17,25
2010-03-14,31452,8961,234659,32640,1862,29730,,,16,24
2010-03-21,33708,8415,231447,33550,2074,31811,,,16,27
2010-03-28,38262,7801,233542,33256,2185,36292,,,17,28
2010-04-04,46553,8128,239300,33328,2333,44505,,,18,30
2010-04-11,47732,8256,247363,33542,2330,45790,,,20,28
2010-04-18,49627,7621,256856,33206,2261,47849,,,23,28
2010-04-25,48770,8183,265333,32792,2139,47098,,,25,27
2010-05-02,44549,7951,270771,32557,2023,42968,,,27,24
2010-05-09,41034,7280,276786,31974,1912,39531,,,29,22
2010-05-16,40849,8542,283709,32023,1944,39260,,,30,22
2010-05-23,38497,9264,289673,33258,1916,36895,,,31,21
2010-05-30,37173,10535,294195,35324,1852,35629,,,31,21
2010-06-06,38348,11454,299349,37855,1797,36842,,,31,22
2010-06-13,37016,12655,298396,40693,1783,35492,,,30,21
2010-06-20,36073,12765,294196,43479,1588,34705,,,29,23
2010-06-27,42648,12636,292179,45220,1544,41280,,,29,24
2010-07-04,42947,11395,290813,45443,1521,41593,,,28,25
2010-07-11,40648,11626,287271,45135,1504,39317,,,28,25
2010-07-18,34953,10985,283360,44877,1410,33732,,,27,26
2010-07-25,35057,10284,278937,43122,1407,33845,,,27,26
2010-08-01,32128,10598,272693,42023,1401,30935,,,26,25
2010-08-08,36736,13692,268337,43523,1432,35520,,,25,26
2010-08-15,40211,15362,267998,47104,1433,38988,,,25,28
2010-08-22,43973,16745,269553,50394,1423,42766,,,25,28
2010-08-29,46222,18620,273783,55901,1504,44984,,,25,30
2010-09-05,42585,20283,277682,62239,1658,41226,,,25,30
2010-09-12,39201,19176,279234,68099,1946,37603,,,25,30
2010-09-19,41682,19363,281926,73057,2278,39824,,,26,28
2010-09-26,37513,19615,283381,78546,2178,35738,,,26,27
2010-10-03,36000,19299,283517,82784,2235,34129,,,26,27
2010-10-10,37473,20871,284774,86452,2221,35599,,,26,26
2010-10-17,38167,20646,286776,89075,2079,36401,,,27,23
2010-10-24,32176,20700,286191,90639,1952,30490,,,27,24
2010-10-31,33615,24330,287809,92749,2580,31343,9948431,,27,23
2010-11-07,31072,24247,290288,95817,2820,28590,23188859,,28,21
2010-11-14,28068,24069,291796,96705,3007,25435,25364067,,28,20
2010-11-21,23522,31064,292886,100393,2844,21058,27597524,,29,20
2010-11-28,21129,29446,293141,104949,2742,18754,28363645,,29,19
2010-12-05,18869,25646,292138,108723,2304,16933,32413804,,29,25
2010-12-12,17819,25775,290641,111293,1948,16224,30819672,,29,25
2010-12-19,19018,23831,290572,115581,1773,17590,29885058,,28,26
2010-12-26,19173,15405,291504,115613,1814,17717,27477333,,28,25
2011-01-02,18619,15166,293020,113625,1729,17248,26578727,,27,26
2011-01-09,17864,15269,294410,112386,1684,16505,25656635,,27,21
2011-01-16,17606,15389,295063,111554,1728,16181,25022617,,27,20
2011-01-23,16071,15249,294254,111316,1691,14649,25372987,,26,19
2011-01-30,17324,18017,293268,111972,1785,15813,25993829,,25,20
2011-02-06,18209,19206,292047,113963,1880,16642,25785849,,24,19
2011-02-13,19890,20290,291730,115644,2074,18192,25412946,,24,19
2011-02-20,20186,20346,292188,116893,2138,18460,25134954,,23,20
2011-02-27,20276,20389,292996,116772,2199,18511,24527885,,23,20
2011-03-06,19110,20087,293671,113051,2221,17333,23233026,,24,20
2011-03-13,19109,19344,294668,108967,2241,17304,22024326,,24,21
2011-03-20,18609,18783,295637,104705,2284,16757,21085138,,24,21
2011-03-27,20447,18859,297361,101072,2391,18556,20159284,,25,21
2011-04-03,20607,18724,299725,98565,2486,18731,19557150,,25,20
2011-04-10,20497,21641,301872,101361,2417,18758,19612082,,25,20
2011-04-17,20488,21711,303728,102890,2346,18851,19018388,,25,19
2011-04-24,21081,20551,305371,103482,2289,19525,19086814,,24,18
2011-05-01,23437,20210,307492,103270,2167,21895,19905512,,24,18
2011-05-08,28936,19680,311925,102047,2063,27365,21059918,,23,17
2011-05-15,30129,15393,316560,98783,2060,28465,21296213,,23,17
2011-05-22,30120,16114,321270,97199,2114,28336,21964555,,23,17
2011-05-29,29736,17159,325662,96038,2029,27947,22566173,,23,16
2011-06-05,26266,17190,329247,94144,2014,24498,21715470,,24,16
2011-06-12,19881,18287,329676,92413,2005,18264,20780056,,25,17
2011-06-19,19783,18630,330808,91684,2026,18147,20763319,,25,18
2011-06-26,18844,19375,331849,91859,1939,17298,20330582,,26,17
2011-07-03,17245,20242,332426,92803,1777,15871,19013422,,26,18
2011-07-10,15043,19952,331893,94963,1666,13783,16060090,,27,18
2011-07-17,13651,19039,330710,97798,1434,12469,14065012,,27,17
2011-07-24,11196,18124,328260,99945,1231,10179,12778391,,26,16
2011-07-31,10281,16729,325444,100135,1075,9375,11522740,,25,16
2011-08-07,9672,15291,322688,98991,1095,8706,11092209,,24,16
2011-08-14,10296,13875,319966,96395,1021,9368,13380658,,23,19
2011-08-21,11324,13241,317899,92051,1035,10350,15026595,,21,20
2011-08-28,11037,12475,315955,86802,1063,10012,15196326,,20,21
2011-09-04,10922,11679,314232,81476,1130,9832,16020846,,19,22
2011-09-11,11439,10768,312892,76584,1059,10427,17165964,,19,22
2011-09-18,11542,11328,312573,72956,1070,10514,17483279,,18,21
2011-09-25,10156,11525,312476,70119,1016,9178,16489269,,19,21
2011-10-02,11610,11826,313045,67925,995,10652,15575047,,19,22
2011-10-09,12854,12233,314251,67119,985,11902,15019550,,19,22
2011-10-16,15917,12345,316812,67065,1084,14863,14740785,,19,22
2011-10-23,17994,12121,320242,67466,1196,16830,14745639,,20,22
2011-10-30,21130,11452,324258,68127,1318,19846,14530786,,21,22
2011-11-06,23004,11338,329176,69099,1426,21616,15987935,,21,21
2011-11-13,22031,11145,332938,69500,1515,20557,16924649,,21,21
2011-11-20,18800,10933,334465,69441,1488,17348,16347945,,21,20
2011-11-27,17018,10707,334028,68936,1468,15575,15588494,,21,19
2011-12-04,15802,10768,332358,68432,1419,14408,16361247,,19,18
2011-12-11,15653,11963,330023,67650,1543,14132,18555711,,21,19
2011-12-18,16240,13209,328756,67905,1544,14715,19879010,,25,19
2011-12-25,17031,14118,328958,69254,1553,15495,22043899,,29,19
2012-01-01,16767,15264,330310,71796,1522,15260,23893972,,32,20
2012-01-08,15682,16704,332217,75712,1524,14168,24068695,,35,20
2012-01-15,14256,16510,333843,80716,1386,12878,23441609,,37,19
2012-01-22,14543,15940,335463,85736,1412,13146,22998795,,37,17
2012-01-29,14234,16308,336911,90637,1400,12854,23028761,,36,15
2012-02-05,15433,16384,338625,95550,1474,13979,23545895,,34,14
2012-02-12,17223,16131,334714,99589,1562,15683,24343824,,34,14
2012-02-19,17276,16270,319063,102678,1657,15642,24167516,,34,13
2012-02-26,18204,16893,293316,105256,1705,16518,25160810,,34,13
2012-03-04,20081,17222,266741,107205,1792,18303,25291750,,35,13
2012-03-11,19552,17563,239402,108443,1833,17734,26805220,,38,13
2012-03-18,21269,18032,218462,110024,1937,19348,28578908,,41,14
2012-03-25,22607,19712,210143,112746,1967,20656,29692804,,42,15
2012-04-01,22208,20559,211597,116188,2033,20188,30726899,,43,15
2012-04-08,21842,21689,213844,119623,2282,19577,32452311,100404844,43,15
2012-04-15,23214,22229,216727,122681,2359,20873,32594277,98263981,39,16
2012-04-22,25202,22458,221034,125028,2296,22931,32390149,98733888,40,16
2012-04-29,25464,21287,225139,125731,2351,23141,34866909,101347234,38,16
2012-05-06,26415,20649,229333,125119,2488,23959,36553936,107485610,39,17
2012-05-13,25296,19852,233104,124009,2188,23141,39703992,108912911,33,18
2012-05-20,23990,20145,236212,122681,2040,21983,45519654,109110328,30,17
2012-05-27,21620,19982,237041,120366,2177,19468,52320654,110364161,26,18
2012-06-03,22825,19872,238232,117847,2163,20682,47437636,111936292,26,18
2012-06-10,24055,19541,239357,115308,1983,22090,46714649,108637574,25,19
2012-06-17,27697,19131,240488,112761,2021,25695,55414799,110612763,27,20
2012-06-24,33962,18428,243855,111077,2133,31850,62652755,118445633,32,21
2012-07-01,42955,18714,251204,110022,2039,40958,58264078,132659445,30,21
2012-07-08,54698,18889,263352,109402,2435,52329,61280711,175746935,27,20
2012-07-15,61997,19147,280316,108557,2718,59348,64165701,208979347,25,18
2012-07-22,63316,19523,299592,108132,2893,60490,51495761,224010694,32,17
2012-07-29,61571,20391,318283,107671,3050,58585,31699808,231880124,30,17
2012-08-05,53792,20360,334270,108052,3162,50676,31014683,229489864,32,17
2012-08-12,40813,20641,344288,109329,2980,37858,32480461,192713413,35,17
2012-08-19,32985,21200,346869,111741,2922,30085,29498984,157501688,38,19
2012-08-26,31863,20915,345048,114940,3166,28717,29807075,146174559,30,20
2012-09-02,32626,20232,339231,117973,3175,29473,34977941,133552616,34,20
2012-09-09,31470,23946,330729,121715,3048,28443,32804021,120616300,34,19
2012-09-16,33435,22619,320819,124340,2859,30594,29238943,111244825,38,18
2012-09-23,33164,20073,312788,125233,2876,30306,26528286,110157394,39,17
2012-09-30,33280,18100,306823,123728,2932,30367,23306774,100448047,45,16
2012-10-07,32005,16207,305251,120911,3264,28758,21179839,99457636,43,17
2012-10-14,32744,15340,306247,117122,3975,28787,18326720,97290109,47,17
2012-10-21,33186,15764,309454,114336,4723,28481,16606035,94342432,40,17
2012-10-28,35917,20022,315370,111464,5454,30488,15628704,99494720,42,17
2012-11-04,36251,22292,323018,109435,5867,30412,15935872,104840037,40,17
2012-11-11,38246,23698,330306,108317,6192,32083,16293962,105448276,39,16
2012-11-18,37420,20265,336188,107385,6070,31382,16492899,106805133,42,15
2012-11-25,35108,21204,340521,106681,5910,29232,16831222,108646102,49,16
2012-12-02,33252,18887,343200,107491,5594,27685,14759209,105247356,45,16
2012-12-09,33777,18414,345486,109067,5408,28396,12229652,103392107,43,17
2012-12-16,32372,18008,348680,108687,5275,27124,12249248,101180888,44,17
2012-12-23,32634,17115,352956,106458,5093,27566,12702262,113019560,38,16
2012-12-30,33786,15706,358513,103065,4600,29212,12567053,127805273,31,16
2013-01-06,33043,15202,363003,99552,4317,28759,13942648,128643840,27,15
2013-01-13,29688,15593,365072,96063,3898,25821,16344098,134197305,25,14
2013-01-20,26529,16638,363461,94766,3322,23253,15296329,145995692,26,14
2013-01-27,26983,17548,361103,94369,3235,23861,13871761,138283417,33,14
2013-02-03,26039,19148,357529,94715,3338,22853,15144548,131554745,34,14
2013-02-10,29657,19152,354955,94806,3376,26435,14109337,127364749,35,14
2013-02-17,32462,19258,354844,95104,3721,29133,12633490,122221260,45,15
2013-02-24,35473,18648,356418,95362,4274,31818,12303459,115783878,52,15
2013-03-03,36522,18051,358684,95983,4391,32916,11730098,113003284,38,16
2013-03-10,38117,17112,361080,96610,4603,34420,11272421,103711358,44,16
2013-03-17,37988,17332,364845,97373,4710,34307,14281418,106165147,50,16
2013-03-24,34628,16497,366395,96861,4602,30950,16157168,100937799,48,15
2013-03-31,33605,16356,367580,95877,4663,29864,18869983,95548728,48,14
2013-04-07,33211,16470,368150,94532,4787,29303,24580226,94793638,51,13
2013-04-14,31898,16806,369136,92973,4791,27995,24755860,93760831,52,13
2013-04-21,27075,16702,367124,91442,4651,23266,24486425,87787224,53,13
2013-04-28,29710,16191,364239,90142,4603,25992,26002078,78881934,52,14
2013-05-05,28419,16810,361710,89653,4144,25127,29273112,63509124,51,14
2013-05-12,30353,18131,360694,90736,3937,27273,27813983,49536617,53,15
2013-05-19,31491,18050,359108,92586,3765,28534,29552799,39197400,48,15
2013-05-26,35338,19473,359316,95008,3673,32544,30341948,37301479,40,15
2013-06-02,40901,23248,363536,100655,3820,37993,32294443,49877030,36,15
2013-06-09,42378,24891,366824,107834,3891,39247,30420347,59294162,33,14
2013-06-16,41957,25949,368482,115745,3966,38638,30516237,65915862,39,13
2013-06-23,38836,27247,370128,123559,3529,35861,30621249,69927371,47,13
2013-06-30,36277,26970,369996,132282,3344,33407,31406847,72639280,58,12
2013-07-07,28379,26605,365115,139908,2865,25827,30051350,63437964,59,12
2013-07-14,25044,28737,360173,149235,2681,22675,28796973,59084738,59,12
2013-07-21,20845,29636,354649,157451,2481,18633,29083874,55512754,56,12
2013-07-28,19930,30684,347252,164014,2728,17471,29223977,52421375,59,11
2013-08-04,17532,31411,339420,167939,2449,15295,28893959,46036223,53,10
2013-08-11,17119,30518,332484,170317,2243,15061,26971471,42324989,54,9
2013-08-18,17985,29998,325965,171078,2979,15171,25757494,39699126,55,9
2013-08-25,24323,28644,320762,168990,3875,20682,23579804,39448664,54,9
2013-09-01,26517,27593,316375,168013,4109,22670,21100406,41604452,45,9
2013-09-08,29900,27617,313521,166580,4746,25476,19274151,43237112,41,10
2013-09-15,36069,27996,314559,163282,5282,31196,19136138,46121639,38,12
2013-09-22,40225,25938,315971,157166,5060,35778,20486757,50966943,35,13
2013-09-29,36597,25974,316180,153229,4465,32722,21831313,52789599,30,15
2013-10-06,37018,25377,316205,148808,4486,33163,22206724,54652519,27,15
2013-10-13,33889,24647,313083,145696,4412,30067,22039050,54290256,24,14
2013-10-20,26227,23872,304159,144740,4004,22735,21799664,55701705,21,12
2013-10-27,20143,23432,292139,144385,3406,17033,20126331,50810948,18,11
2013-11-03,15292,23717,278156,144011,2777,12745,17492160,46319590,17,9
2013-11-10,12588,24951,264643,143942,2417,10335,16551389,41138141,16,9
2013-11-17,13763,24460,254249,143369,2085,11825,16138491,35966459,15,9
2013-11-24,14317,24011,246193,142365,2023,12447,15290751,31852318,15,10
2013-12-01,14348,24106,240335,141621,1762,12748,14450203,30837314,15,9
2013-12-08,17146,23486,236506,141138,1656,15669,16366554,32094146,15,9
2013-12-15,18938,25829,233406,143477,1579,17549,24006969,34011474,15,12
2013-12-22,18406,25304,229118,142829,1501,17103,25189479,36230569,15,14
2013-12-29,17342,25133,224267,141606,1392,16130,25292547,35805249,15,15
2014-01-05,26554,24877,238127,140257,1472,25258,26467485,34334101,24,18
2014-01-12,53501,25490,239271,139251,1567,52114,25481274,35384882,34,20
2014-01-19,53543,22386,239575,135906,1380,52305,18408450,36850113,34,20
2014-01-26,55380,23165,240745,136276,1221,54315,16362498,37100540,34,18
2014-02-02,57877,23887,243245,137195,1206,56843,16665651,40589365,34,17
2014-02-09,48788,23679,225204,137384,1122,47826,17654391,47938926,24,14
2014-02-16,18840,23554,218007,138067,981,18001,16414420,45310051,15,13
2014-02-23,16492,24374,210564,139980,985,15656,16394853,39568086,15,10
2014-03-02,14126,25862,202237,141841,1050,13216,20367218,35676110,15,10
2014-03-09,11358,24092,192695,141828,1033,10447,21575752,29017785,15,9
2014-03-16,12954,25471,185567,143138,1101,11981,21619350,22486086,15,8
2014-03-23,18567,25634,182061,143065,1326,17388,23500578,22857696,15,8
2014-03-30,19165,24827,179427,141329,1439,17872,22601669,23727902,15,9
2014-04-06,18335,23440,176423,138851,1364,17098,18356065,23944771,15,9
2014-04-13,18614,24783,174313,138383,1347,17386,16127043,24845405,15,10
2014-04-20,18345,23438,172798,137321,1561,16922,13662120,23760140,15,10
2014-04-27,13137,23858,169195,136823,1324,11931,11468047,21186836,15,10
2014-05-04,12616,24132,165802,136711,1162,11571,12309886,21094391,15,9
2014-05-11,14786,24628,165617,136981,1240,13690,13425170,21568290,15,10
2014-05-18,18454,24864,167464,137013,1316,17322,14177978,26679111,15,11
