WeekOf,Malware sites detected,Phishing sites detected,Malware sites number,Phishing sites number,Attack sites,Compromised sites,Browser warnings,Search warnings,Webmaster response time,Reinfection rate
2014-05-25,18420,24817,168427,136131,957,17629,15735517,29936753,15,12
2014-06-01,17737,25086,168256,136414,896,16998,15782475,31108395,15,12
2014-06-08,16970,24232,168045,136025,867,16261,14832739,29993512,15,12
2014-06-15,14857,23810,166380,136490,719,14269,13030120,29905122,16,12
2014-06-22,11316,24129,163324,137466,562,10865,12210551,32812167,16,11
2014-06-29,8447,23568,160008,138326,515,8035,11776252,29314281,17,12
2014-07-06,8421,22927,158072,139204,510,8013,12563690,27236770,19,13
2014-07-13,9305,24299,157109,141516,518,8891,12903491,27013428,19,13
2014-07-20,10267,25457,156150,142985,524,9851,20651776,30978814,31,13
2014-07-27,9980,25132,155691,143687,541,9528,23705135,23307015,43,13
2014-08-03,10592,25653,155888,143712,565,10105,24899667,30373832,47,13
2014-08-10,10389,24327,156184,140850,598,9865,25981766,36501071,48,13
2014-08-17,9871,23565,156425,136333,632,9306,29966689,43260278,55,12
2014-08-24,8312,22245,156941,131774,628,7743,26227851,45537473,54,12
2014-08-31,11531,23993,159446,129406,1089,10522,28864827,49710824,42,12
2014-09-07,13456,24753,163272,127288,1226,12319,30866844,48686342,37,13
2014-09-14,15952,26765,167376,126743,1450,14589,34122260,60096995,34,13
2014-09-21,18689,26596,171966,126882,1726,17048,33059895,60398939,32,12
2014-09-28,21445,27049,177391,128348,2069,19475,30987542,60511768,35,11
2014-10-05,20082,26261,181070,128628,1820,18336,27330132,60123325,50,10
2014-10-12,19177,25500,183606,127466,1847,17398,25380370,59454650,64,9
2014-10-19,18197,23306,186851,125519,1862,16407,23128662,51633260,79,9
2014-10-26,17332,22885,191415,123440,1900,15509,21832207,52131426,90,8
2014-11-02,15664,22146,195365,120635,1886,13841,24758079,51235007,90,9
2014-11-09,16283,20286,200418,116515,2094,14262,24520894,51310234,90,9
2014-11-16,20480,19993,208427,115101,2676,17942,23316715,48065543,90,9
2014-11-23,21251,20697,216283,115077,2820,18600,21548794,45252061,90,8
2014-11-30,21066,20544,222970,114844,2821,18431,20620128,41511323,90,8
2014-12-07,21719,20980,230130,115209,2954,18983,16711371,38080821,90,8
2014-12-14,27590,21340,240085,116154,3115,24697,16391366,37649661,77,7
2014-12-21,32595,22130,252598,117900,2507,30263,17135470,38890205,64,7
2014-12-28,31157,22359,263286,117420,2146,29156,17758429,37352998,64,7
2015-01-04,32565,23068,274527,116137,3908,28784,18294805,40351905,64,6
2015-01-11,31496,23491,282306,115484,3663,27921,19610030,41070575,64,5
2015-01-18,23976,24876,285700,115806,3091,20953,20061464,40388653,78,4
2015-01-25,13981,24791,282429,114626,2957,11079,20709381,39710063,90,3
2015-02-01,15314,25555,279267,115746,2955,12409,21903353,38954932,90,3
2015-02-08,12284,25020,273574,117538,841,11486,22441673,35031214,90,3
2015-02-15,12999,23940,270907,118045,812,12237,23456137,35036656,90,3
2015-02-22,12696,22846,267081,117783,770,11984,23616185,34650522,90,3
2015-03-01,12390,23721,263242,119494,742,11703,22666975,34584827,90,3
2015-03-08,10561,22407,260083,121660,708,9915,20973192,32956318,90,3
2015-03-15,11304,23424,258340,125613,735,10642,19551239,32345579,90,3
2015-03-22,10725,26468,256538,129071,621,10209,17068291,31462730,90,3
2015-03-29,10035,26654,255784,132405,618,9520,15551608,29985243,90,3
2015-04-05,11157,28100,257597,133229,613,10642,14688791,27759038,90,3
2015-04-12,11927,32468,260175,138100,612,11404,14734218,26853476,90,2
2015-04-19,12154,35848,263588,141657,637,11598,14397174,26593974,90,2
2015-04-26,12622,34597,268144,143076,664,12011,13798014,25718614,90,4
2015-05-03,14647,37388,274811,148495,800,13905,13643951,25785289,90,6
2015-05-10,14089,37598,281018,152198,827,13321,13514328,24431358,90,7
2015-05-17,14977,33571,288085,150420,881,14159,13130100,25755807,90,7
2015-05-24,15079,28187,295291,146894,854,14291,13352651,26841094,90,8
2015-05-31,18147,26455,304154,143158,706,17501,14047243,26716558,90,8
2015-06-07,17392,22644,312281,134150,590,16866,13932255,26693299,90,9
2015-06-14,17747,18784,320378,126553,498,17308,13634538,28846796,90,10
2015-06-21,15175,19234,328657,119848,355,14876,13676383,27673324,90,12
2015-06-28,13969,19836,336951,114402,,13718,13176700,26081288,90,13
2015-07-05,11421,19956,343742,113132,,11174,13142632,25733964,90,14
2015-07-12,13369,19439,351659,114122,303,13154,13367728,25412399,90,13
2015-07-19,14305,20322,360585,118574,301,14036,13222767,26820006,90,13
2015-07-26,17765,19939,370337,119611,350,17345,12805506,28826021,90,13
2015-08-02,18947,21043,380420,124823,473,18428,12786666,29630267,90,12
2015-08-09,20751,21284,391066,130684,628,20140,12677779,30649246,90,10
2015-08-16,19589,22382,400774,137712,708,18893,12083582,33056404,90,10
2015-08-23,21384,21485,411370,144737,869,20531,12460953,34734956,90,11
2015-08-30,20819,22501,421754,157103,935,19903,12626681,36491216,88,11
2015-09-06,21146,21621,432233,167314,995,20175,12562520,39388706,84,13
2015-09-13,19866,21494,442272,177584,1096,18807,12516013,42374573,83,16
2015-09-20,19681,27162,452159,187773,1168,18546,13148627,42803570,83,15
2015-09-27,20568,27363,462419,198116,1448,19179,12967077,44716171,77,18
2015-10-04,19507,25757,471463,208060,1496,18069,13449677,44047165,75,18
2015-10-11,21408,26733,479971,217860,1636,19829,13205378,43636314,73,17
2015-10-18,21505,27318,489407,226473,1614,19938,13077794,42479420,69,16
2015-10-25,21456,22177,489801,231496,1660,19844,12489082,41941776,63,15
2015-11-01,25842,23349,484130,233096,1448,24430,12015964,41352928,63,12
2015-11-08,26977,24387,474415,233952,1336,25679,12765109,43149355,61,11
2015-11-15,26129,23739,462667,235344,1162,25005,16226148,44633889,61,9
2015-11-22,25077,24079,447236,238316,1065,24050,18187695,46204200,60,9
2015-11-29,23689,23493,437546,244043,969,22755,21957349,45716680,60,10
2015-12-06,15995,23088,428744,251982,826,15181,25461037,42913722,60,9
2015-12-13,14375,24131,419928,261123,887,13499,27455177,39275299,60,8
2015-12-20,12423,24366,408339,268086,929,11504,25352657,34936655,60,8
2015-12-27,11603,23849,394490,272109,989,10624,25346355,30660172,60,8
2016-01-03,11033,23344,378523,275353,917,10126,23916205,30332171,60,8
2016-01-10,9763,23984,361197,278992,847,8927,22133020,30219530,60,9
2016-01-17,9139,23572,344049,280372,780,8368,21166111,30011094,60,9
2016-01-24,8181,24271,327449,282738,708,7479,23448092,27424883,60,10
2016-01-31,11573,25512,313416,287511,700,10881,26375509,29496289,53,10
2016-02-07,13326,26927,301113,293747,740,12597,29370376,29793291,49,11
2016-02-14,15503,52924,291040,314335,760,14755,32216022,30632252,44,12
2016-02-21,20493,53036,285496,330634,772,19737,35073659,35352142,40,14
2016-02-28,24090,51586,283609,352764,760,23350,40760383,44353813,38,16
2016-03-06,19592,53732,282791,374523,601,19004,46195512,45969212,45,18
2016-03-13,21478,52142,285654,379284,631,20860,50079599,45662832,50,19
2016-03-20,21718,25597,290704,366746,730,21001,53390320,44837256,55,20
2016-03-27,18077,39493,295510,360368,659,17428,57101380,40290733,60,21
2016-04-03,16127,43987,299790,365149,638,15495,56489352,34191808,64,21
2016-04-10,18757,42663,305265,368125,723,18041,58242260,30868003,64,23
2016-04-17,20231,46854,311994,389505,733,19507,57911894,31508744,63,25
2016-04-24,22342,50108,319611,416659,669,21684,58880640,31904121,64,25
2016-05-01,27727,36285,329762,443104,687,27053,55335610,34662968,64,26
2016-05-08,34876,34966,345133,456196,712,34178,54558633,37228923,62,28
2016-05-15,45064,35795,366125,472590,749,44332,51015108,42028563,62,28
2016-05-22,46854,37327,388046,489293,743,46136,51930561,44676352,62,30
2016-05-29,48641,35810,411494,503939,742,47921,51765395,48482983,62,31
2016-06-05,45449,36117,434233,519927,781,44689,55275017,49720760,61,30
2016-06-12,43613,36854,455376,533108,820,42814,56336915,51837259,60,28
2016-06-19,39247,37913,473343,547716,868,38401,56666507,50833399,60,26
2016-06-26,37591,35679,489823,559444,833,36771,54416373,51454868,60,24
2016-07-03,37581,34745,505194,568437,756,36837,56446588,50672958,60,23
2016-07-10,37892,33963,515305,575298,685,37218,57649724,47939229,60,23
2016-07-17,33225,33515,518777,582048,564,32671,58944440,45149133,60,23
2016-07-24,28200,34081,519661,583191,427,27780,59845219,42278706,60,23
2016-07-31,24698,34656,516103,585143,402,24305,60953154,37654604,60,25
2016-08-07,20390,36341,507716,590540,447,19950,56833125,32930830,60,26
2016-08-14,18156,36200,501123,594617,508,17656,52498462,30797962,60,25
2016-08-21,19148,30353,496874,599377,645,18513,48840106,28656651,60,24
2016-08-28,20361,27658,492999,605219,733,19638,44828585,28537727,60,23
2016-09-04,23103,23578,492353,607101,745,22366,42670642,30647675,60,22
2016-09-11,25678,22215,494407,604934,834,24854,40993759,34967372,60,22
2016-09-18,27491,23800,498310,603946,888,26615,38699777,39834979,60,22
2016-09-25,26354,28310,502616,600687,869,25497,35600393,43124108,60,23
2016-10-02,24042,29327,504838,597870,873,23179,33095983,43833138,60,22
2016-10-09,21331,34681,506366,596016,942,20399,28980763,42525288,60,22
2016-10-16,18179,37833,507613,597069,864,17323,26649684,39947973,60,22
2016-10-23,15866,46545,506761,569542,755,15117,25462458,37140958,60,21
2016-10-30,16326,49156,506103,539607,706,15625,24998285,34854559,60,20
2016-11-06,26862,48316,513336,513830,637,26230,24122034,40149877,60,20
2016-11-13,28644,44314,520302,492289,483,28167,23892299,48006868,60,20
2016-11-20,27503,40659,525763,473276,416,27094,24580696,51594567,60,19
2016-11-27,26065,30746,529780,485445,363,25710,24339538,53901362,60,19
2016-12-04,23938,32364,533005,509155,263,23682,22974580,55599751,60,18
2016-12-11,11514,32588,528228,531862,218,11302,22190084,50300997,60,17
2016-12-18,8162,31707,523087,553187,246,7920,22045417,41280046,60,17
2016-12-25,8511,29875,519510,572255,234,8282,19721367,36087546,60,18
2017-01-01,9314,28151,517527,584686,250,9067,18844018,32508659,60,20
2017-01-08,10193,22563,514484,586977,271,9926,18629669,29942793,60,21
2017-01-15,15163,20836,515762,584003,274,14892,17974461,28627338,60,24
2017-01-22,16519,21324,518659,578701,277,16245,17029350,28486140,60,26
2017-01-29,18969,22405,523685,568964,309,18664,17315007,29941314,60,26
2017-02-05,19279,23733,529503,560204,357,18926,16725088,31152575,60,26
2017-02-12,18717,23605,537770,548439,363,18358,16348139,32029090,60,27
2017-02-19,17703,23353,545016,535436,379,17328,16441016,33890349,60,25
2017-02-26,20982,23222,554316,521344,348,20638,16317231,38358059,60,22
2017-03-05,19618,23704,561942,508067,376,19245,16287460,42061011,60,21
2017-03-12,20129,22043,569265,493985,349,19783,16426743,43876545,60,19
2017-03-19,20721,21511,572377,484530,371,20354,16146394,45434310,60,15
2017-03-26,17244,20159,570798,478174,366,16882,16560130,45193562,60,13
2017-04-02,12446,19151,563571,473696,372,12078,16671468,41883260,60,12
2017-04-09,10974,17578,554631,470619,294,10684,16262683,37295289,60,12
2017-04-16,9655,17942,544843,471797,283,9375,16687176,34295926,60,13
2017-04-23,10827,18004,539796,473475,307,10526,17401761,32360851,60,14
2017-04-30,12798,18043,538132,475939,313,12493,19378995,31541678,60,15
2017-05-07,13775,18421,538321,480084,324,13459,22292431,30766046,60,15
2017-05-14,13910,18969,538490,485118,326,13593,24391029,30611460,60,15
2017-05-21,14408,18889,539064,490408,334,14084,25847583,30388354,60,14
2017-05-28,12578,17995,538104,495136,307,12279,27135418,30196166,60,13
2017-06-04,11340,17514,535645,499245,345,11001,27272287,33116819,60,13
2017-06-11,11120,17352,533756,502727,382,10744,25216515,34824184,60,13
2017-06-18,11547,17358,533185,506733,430,11122,23451163,35373803,60,13
2017-06-25,12014,16597,531734,510465,436,11582,21752306,35278658,60,15
2017-07-02,12581,16634,530440,514982,414,12171,20572168,35884093,60,17
2017-07-09,12503,16851,529011,519798,358,12148,18620335,32739882,60,18
2017-07-16,12277,16403,527440,524175,331,11948,17974884,31334620,60,19
2017-07-23,11530,15498,525384,527969,337,11196,18694947,31810898,60,20
2017-07-30,10048,15328,523932,531218,342,9709,18452953,32254466,60,19
2017-08-06,8479,17005,521024,535711,337,8144,16829862,30902528,60,19
2017-08-13,6707,19114,516912,542232,326,6384,15855420,29131372,60,19
2017-08-20,6047,21394,512114,551249,365,5686,15637921,27556940,60,20
2017-08-27,5815,23273,506186,561998,333,5485,14599117,24303117,60,21
2017-09-03,6312,24756,500245,573433,335,5981,15659574,22258591,60,21
2017-09-10,6645,25075,495274,582815,369,6279,18307569,21658261,60,22
2017-09-17,7903,24841,491585,590912,421,7486,19001702,22268299,60,22
2017-09-24,8240,24452,489043,597681,405,7838,18999466,24713648,60,22
2017-10-01,8575,24586,488486,603246,415,8163,19757719,26246964,60,22
2017-10-08,8600,25047,489196,608740,418,8185,19526273,28551008,60,26
2017-10-15,23679,25635,492632,617453,442,23241,18474469,32793884,48,23
2017-10-22,23193,32952,495836,631388,419,22779,19967719,35725540,48,26
2017-10-29,22998,35370,498703,646912,397,22606,20444228,36447347,48,28
2017-11-05,23047,43141,501431,663878,394,22658,19892200,47933602,48,32
2017-11-12,23456,49696,504619,693251,384,23077,18549335,58288942,48,33
2017-11-19,8695,50905,506096,713735,452,8248,17562598,57419111,60,39
2017-11-26,8224,44619,507463,726209,441,7788,15642175,57292646,60,40
2017-12-03,7905,42906,508939,730823,418,7491,15062590,60183293,60,39
2017-12-10,7230,35967,508723,728634,398,6836,14854213,52247515,60,35
2017-12-17,6504,29783,507420,711925,391,6117,14719008,41426556,60,34
2017-12-24,6524,27891,506170,700598,283,6244,14721299,41069250,60,36
2017-12-31,6861,27323,504322,691671,287,6577,14490787,40406047,60,32
2018-01-07,7405,27858,500066,689185,313,7095,14369917,37773925,60,28
2018-01-14,7594,27475,494628,692502,315,7282,13973780,35784791,60,27
2018-01-21,8272,28104,487668,698737,343,7932,14662058,37553220,60,23
2018-01-28,8338,29195,478538,705861,363,7979,14319557,39180570,60,16
2018-02-04,8654,30558,468640,713331,384,8274,14228172,38914978,60,14
2018-02-11,7967,30429,459208,721319,371,7599,14907492,37135209,60,13
2018-02-18,7625,30990,449863,725922,366,7261,14694012,37471727,60,15
2018-02-25,6650,30451,439971,730049,308,6344,13739949,35768271,60,15
2018-03-04,6406,30749,430100,733866,273,6135,13574589,32221128,60,16
2018-03-11,5863,27757,420008,734142,251,5613,13854287,30265479,60,16
2018-03-18,6226,27750,410465,730359,247,5981,13575657,29803082,60,16
2018-03-25,6032,27015,401216,730332,244,5790,13874379,30872265,60,16
2018-04-01,6372,30082,392490,733295,252,6122,15181236,32800683,60,15
2018-04-08,6405,29395,384150,737111,257,6150,15223870,33526427,60,15
2018-04-15,6171,30762,375974,744633,230,5943,14357614,32945280,60,14
2018-04-22,5917,30581,367450,755650,225,5693,15990065,30451618,60,14
2018-04-29,6234,31752,359253,766164,213,6022,16903936,25188466,60,16
2018-05-06,6663,29455,351248,768567,211,6454,15594103,20077262,60,18
2018-05-13,7116,29195,343359,771319,230,6888,15333454,16212651,60,20
2018-05-20,7385,30590,335361,775342,259,7128,15157691,14945386,60,21
2018-05-27,7100,31479,327026,780472,276,6827,12357078,14511905,60,20
2018-06-03,6860,31574,318392,786038,297,6566,10661218,13713862,60,19
2018-06-10,6161,31566,309875,796976,329,5834,9976884,12640766,60,17
2018-06-17,5581,31399,301260,806949,334,5252,9597494,12463676,60,15
2018-06-24,5642,30944,292774,815268,334,5314,9382120,12375221,60,14
2018-07-01,5961,30141,284375,821549,353,5613,8414279,12411793,60,14
2018-07-08,6337,33438,276221,831665,396,5947,8054846,13407343,60,13
2018-07-15,6777,37305,267963,841865,418,6363,7826785,15288182,60,13
2018-07-22,6517,38832,259239,853083,392,6128,7541783,16170079,60,12
2018-07-29,6078,37960,250017,864333,378,5702,6868427,15570032,60,12
2018-08-05,5730,37226,240544,875595,337,5395,6958681,15029174,60,12
2018-08-12,5243,32390,230683,881195,275,4970,6888350,14861206,60,12
2018-08-19,4901,27996,220571,885718,211,4692,6779998,14035159,66,12
2018-08-26,5309,27099,210850,888579,205,5105,8097325,13514374,69,13
2018-09-02,5795,28047,201481,892642,201,5597,8208251,13954486,71,13
2018-09-09,5650,28649,191888,898238,179,5473,7924980,13597662,74,13
2018-09-16,5453,29086,182114,904374,163,5292,7525883,12147001,76,13
2018-09-23,5041,29230,171790,911673,153,4890,7229923,11306559,73,14
2018-09-30,4599,29490,161236,920557,138,4462,5389371,8869391,72,15
2018-10-07,3848,28894,150308,928947,106,3743,5172196,7432700,70,15
2018-10-14,3477,38350,139586,945868,96,3383,5142520,6872875,65,15
2018-10-21,3548,38693,129619,962231,89,3460,5213594,6354972,62,14
2018-10-28,3427,39088,120384,996827,84,3345,13116151,4607754,58,12
2018-11-04,2913,38825,111354,1049492,76,2838,13087105,5517764,54,11
2018-11-11,2810,38363,103503,1079420,89,2722,20701080,4975680,53,11
2018-11-18,2936,28295,96446,1102436,101,2835,20915355,4558241,52,12
2018-11-25,3107,28694,89965,1131397,116,2991,20690944,4501715,50,13
2018-12-02,3230,27662,84410,1144616,142,3088,12729841,5491714,47,15
2018-12-09,3333,27265,79872,1142361,140,3194,12781761,5664972,44,17
2018-12-16,3342,28185,75885,1165221,137,3205,5389346,5703452,41,18
2018-12-23,3359,26977,72644,1184083,126,3234,5056524,5319397,37,19
2018-12-30,3037,24648,,1199122,127,2911,5129081,5047302,35,20
2019-01-06,3787,26596,68241,1214593,133,3654,5146456,4449411,35,25
2019-01-13,3968,28582,,,197,3772,5525791,4322110,34,26
2019-01-20,4573,28407,64158,1233785,246,4329,8109344,10487660,33,28
2019-01-27,4783,30709,60309,1252561,288,4497,9002696,13422983,33,30
2019-02-03,4869,33850,56638,1275831,299,4572,9453599,14806699,33,31
2019-02-10,4262,33243,53353,1301106,297,3967,9597268,16516049,31,28
2019-02-17,4052,32488,52047,1325776,254,3800,9548509,17097695,31,28
2019-02-24,3439,32454,51000,1346132,214,3227,7030929,10826823,31,30
2019-03-03,3164,26916,,,187,2979,6392105,8673502,30,28
2019-03-10,2848,27046,,,173,2677,6152200,7801278,30,28
2019-03-17,2455,28633,,,,,6341725,6628651,30,30
2019-03-24,2291,28737,,,,,6568580,6205450,26,28
2019-03-31,2072,27488,,,,,6967720,5847517,25,28
2019-04-07,2000,33567,,,,,6784267,5590446,24,28
2019-04-14,2040,33012,,,,,6567585,5980633,24,26
2019-04-21,2000,31402,,,,,5984961,5770562,31,27
2019-04-28,1950,30214,,,,,5464767,5240934,34,26
2019-05-05,1950,31779,,,,,4493573,5774423,34,28
2019-05-12,1950,32482,,,,,4317170,5668722,34,27
2019-05-19,2010,35124,,,,,4026228,5294103,32,28
2019-05-26,2070,35163,,,,,4005191,5549459,26,27
2019-06-02,2080,34837,,,,,3729004,5287214,26,27
2019-06-09,2060,35372,,,,,3533145,4605329,27,26
2019-06-16,2030,34028,,,,,3305670,4024433,27,28
2019-06-23,1960,31170,,,,,3284713,3135313,27,28
2019-06-30,1930,30578,,,,,3222532,2287321,26,31
2019-07-07,1930,32129,,,,,2999925,2114877,26,33
2019-07-14,1970,31313,,,,,2891800,1947104,25,34
2019-07-21,1950,31165,46911,1396366,,,2763704,1722933,25,35
2019-07-28,1972,30819,42925,1442096,,,2604411,1717655,26,36
2019-08-04,1956,31036,39046,1482980,142,2290,2340791,1890990,26,37
2019-08-11,1918,29847,35199,1520605,110,2079,2268561,2009021,27,38
2019-08-18,1880,29826,31452,1554690,94,1859,2257336,2112880,26,39
2019-08-25,1843,30089,31016,1555454,79,1716,2208227,2217974,26,38
2019-09-01,1688,30344,30613,1556411,61,1630,2122417,2371220,25,36
2019-09-08,1417,30517,29879,1557946,52,1366,2548631,2221130,24,34
2019-09-15,1214,31200,29057,1559343,46,1169,2766651,2686553,23,33
2019-09-22,956,31497,28080,1561153,31,925,2929327,3086090,22,32
2019-09-29,1121,32470,27340,1564760,25,1096,3176733,3233185,23,32
2019-10-06,1406,33942,26942,1571270,26,1381,3410243,3368879,23,31
2019-10-13,1712,35002,27104,1580820,33,1680,3040992,4265236,23,32
2019-10-20,2391,35701,27906,1592706,42,2351,2907328,5461880,24,34
2019-10-27,2806,36548,28846,1607029,47,2762,2706089,9445841,25,35
2019-11-03,2918,37071,29814,1622452,51,2871,2845969,10923956,24,36
2019-11-10,2896,37122,30557,1637637,52,2849,3839983,11598038,24,38
2019-11-17,2891,37338,31060,1652059,42,2852,3895688,11443084,24,37
2019-11-24,2382,37544,30985,1666441,32,2352,3885177,10234021,24,33
2019-12-01,2145,38532,30680,1678930,27,2119,4061911,6388698,23,31
2019-12-08,1743,38508,29863,1687968,22,1721,3716556,6608125,23,27
2019-12-15,1367,37180,28664,1692314,21,1347,2497383,8738730,22,22
2019-12-22,1095,30456,27260,1692648,18,1078,2416115,8514381,21,19
2019-12-29,889,32046,25819,1694000,17,872,2562970,8022780,21,18
2020-01-05,710,31919,24564,1692000,18,692,2635929,7517007,20,17
2020-01-12,659,30467,23562,1688000,20,639,2761318,7007058,20,18
2020-01-19,637,31355,22799,1688000,17,620,2864194,6236765,20,20
2020-01-26,617,39024,22280,1692000,17,600,2822512,7924261,21,22
2020-02-02,623,41372,21930,1690648,17,606,2607716,10152236,22,23
2020-02-09,606,45379,21685,1691528,15,591,2489467,10969601,22,24
2020-02-16,585,52044,21474,1694628,15,570,2492508,10373072,23,25
2020-02-23,601,58021,21345,1695948,17,585,2452145,8626193,22,26
2020-03-01,653,53731,21274,1695488,25,629,2398925,6853418,21,27
2020-03-08,751,47798,21236,1696840,29,724,2410735,5165212,20,28
2020-03-15,874,45379,21224,1697960,33,843,2584986,4445461,19,28
2020-03-22,879,40329,21243,1798244,30,852,2644385,3883007,18,28
2020-03-29,,35519,21237,,,,2668160,3751085,18,27
2020-04-05,,40734,21186,,,,2822979,3578803,18,23
2020-04-12,,49143,21126,1834138,,,3050110,3133504,18,20
2020-04-19,1052,55008,21028,1872989,28,1027,3117070,2927628,20,24
2020-04-26,992,59525,,,18,975,3124024,2752057,20,23
2020-05-03,871,59557,,,15,858,3243062,2804969,20,23
2020-05-10,739,58538,,,12,728,3339063,2643038,34,22
2020-05-17,810,52489,20795,1915195,13,797,3393803,2461770,49,21
2020-05-24,595,44751,20617,1957345,12,584,3490485,2440702,48,19
2020-05-31,590,40258,,1897962,,,3406775,2335328,50,20
2020-06-07,584,41374,,1904748,,,3347142,2219173,50,19
2020-06-14,643,42489,,1908565,,,3344815,2540134,36,21
2020-06-21,630,44625,,1886380,,,3131575,2733661,22,24
2020-06-28,776,46544,,1884214,,,2877805,3176781,21,20
2020-07-05,900,48102,,1886435,,,2951803,3364011,19,21
2020-07-12,997,47387,,1884439,,,3327864,3267176,20,23
2020-07-19,1041,46907,,1876411,,,3362268,3995290,22,23
2020-07-26,963,45286,,1894154,,,3642371,3850296,26,24
2020-08-02,779,44762,,1892664,,,3683957,3775473,27,23
2020-08-09,601,44261,,1890443,,,3627333,4230275,27,24
2020-08-16,427,44227,21281,1885722,,558,3524198,4819553,32,24
2020-08-23,408,43538,21983,1892980,,629,3452996,4681532,30,23
2020-08-30,494,44866,22742,1902289,13,738,3336914,4817419,26,20
2020-09-06,621,44112,23632,1916168,15,692,3291568,4697905,27,20
2020-09-13,773,42884,24553,1932857,22,800,3412857,4805527,27,21
2020-09-20,933,44227,24667,1959526,21,907,3240305,4749533,21,24
2020-09-27,975,45756,24935,1986615,22,953,3472943,4266256,20,26
2020-10-04,1071,45371,24518,2010143,21,1050,3535551,4255146,19,35
2020-10-11,1360,45692,24348,2031394,18,1343,3476686,5924736,25,35
2020-10-18,1609,46972,24366,2043644,10,1600,3346126,5993503,24,31
2020-10-25,1865,46016,24579,2045402,16,1850,3317689,6903498,24,28
2020-11-01,1954,46129,24676,2035730,26,1930,3079178,7479382,25,26
2020-11-08,1937,,25408,2023236,32,1908,3058041,8755266,25,19
2020-11-15,1608,,25734,2013608,35,1577,3100989,7797518,16,18
2020-11-22,1479,,25898,2014339,39,1443,,7576980,15,19
2020-11-29,1326,,25985,2025407,34,1294,,7478488,16,18
2020-12-06,1358,,26165,2046249,65,1296,,6991536,16,16
2020-12-13,1354,,26409,2072446,129,1227,,5853025,22,15
2020-12-20,1405,,26807,2094000,205,1201,,5181919,31,15
2020-12-27,1368,,27243,2112898,358,1011,,4771744,46,17
2021-01-03,1382,,27713,2125112,528,854,,3905871,61,19
2021-01-10,1388,,28206,2135800,663,726,,3670201,75,21
2021-01-17,1413,,28803,2145013,741,673,,4189776,84,21
2021-01-24,1331,,29323,2156156,663,669,,4486865,76,22
2021-01-31,1134,,29690,2168066,503,631,,4582367,61,22
2021-02-07,907,,29828,2184767,337,570,,3936190,46,21
2021-02-14,751,,29625,2200755,170,582,,3496790,,
2021-02-21,674,,29358,2218202,23,652,,2529897,,
2021-02-28,908,,29393,2237424,22,886,,1734059,,
2021-03-07,1083,,29616,2257130,22,1062,,1635664,,
2021-03-14,1288,,30075,2276440,25,1264,,,,
2021-03-21,1510,,30954,2295786,18,1492,,,,
2021-03-28,1523,,31818,2312246,20,1503,,,,
2021-04-04,1386,,32501,2324346,20,1366,,,,
2021-04-11,1295,,33037,2331089,,1275,,,,
2021-04-18,1210,,33452,2333973,,1200,,,,
2021-04-25,963,,33640,2338737,,955,,,,
2021-05-02,890,,33787,2344543,,885,,,,
2021-05-09,1136,,34185,2336454,,1133,,,,
2021-05-16,,,,,,,,,,
